Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
HIDROLÂNDIA,3.2,2.9,3.6,3.9,4.0,4.4,4.6,5.1,3.2,3.4,3.7,4.1,4.5,4.7,5.0,5.2
HORIZONTE,3.0,3.4,3.9,4.6,4.9,,5.2,5.7,3.1,3.2,3.5,3.9,4.3,4.5,4.8,5.1
IBARETAMA,3.2,3.0,2.8,3.1,3.2,3.8,4.2,4.3,3.2,3.4,3.6,4.0,4.4,4.7,5.0,5.2
IBIAPINA,2.8,3.3,3.4,3.7,3.7,4.2,5.0,5.2,2.9,3.0,3.3,3.7,4.0,4.3,4.6,4.9
IBICUITINGA,,3.1,3.2,3.7,4.3,4.3,4.6,5.3,,3.2,3.4,3.7,4.1,4.4,4.6,4.9
ICAPUÍ,2.4,3.2,3.6,3.7,4.3,,5.0,4.9,2.4,2.6,2.9,3.3,3.7,4.0,4.3,4.5
ICÓ,2.5,2.7,3.1,3.3,3.4,3.6,4.1,4.2,2.5,2.6,2.9,3.3,3.7,3.9,4.2,4.5
IGUATU,2.9,3.4,3.5,3.8,4.4,4.4,4.6,5.1,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
INDEPENDÊNCIA,3.0,3.3,3.7,4.3,4.5,5.2,5.5,5.9,3.0,3.2,3.4,3.8,4.2,4.5,4.7,5.0
IPAPORANGA,2.8,2.9,3.9,3.7,4.2,4.7,5.1,5.2,2.8,3.0,3.3,3.7,4.0,4.3,4.6,4.8
IPAUMIRIM,2.4,2.7,2.9,3.7,3.6,3.7,4.0,3.9,2.4,2.6,2.9,3.3,3.7,4.0,4.2,4.5
IPU,2.8,3.1,3.2,3.5,3.5,3.7,4.2,4.9,2.9,3.0,3.3,3.7,4.1,4.3,4.6,4.9
IPUEIRAS,2.4,2.9,2.9,3.4,3.7,3.9,4.5,5.1,2.4,2.6,2.9,3.3,3.6,3.9,4.2,4.5
IRACEMA,2.7,3.2,3.6,3.4,4.0,3.9,4.6,4.8,2.7,2.8,3.1,3.5,3.9,4.2,4.4,4.7
IRAUÇUBA,3.1,3.5,3.8,4.1,4.5,5.1,5.1,5.7,3.2,3.3,3.6,4.0,4.4,4.6,4.9,5.1
ITAIÇABA,3.4,4.2,5.3,4.7,4.0,5.0,5.9,5.9,3.4,3.6,3.8,4.2,4.6,4.9,5.1,5.4
ITAITINGA,3.2,3.1,3.8,4.4,4.1,4.3,4.5,4.8,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
ITAPAJÉ,3.3,3.7,4.1,4.1,4.4,4.5,5.1,5.3,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.4
ITAPIPOCA,3.1,3.2,3.7,4.0,4.1,4.6,5.0,5.3,3.1,3.3,3.5,3.9,4.3,4.6,4.9,5.1
ITAPIÚNA,2.9,2.8,3.3,3.5,3.5,4.0,4.4,4.7,3.0,3.1,3.4,3.8,4.2,4.4,4.7,5.0
ITAREMA,3.0,3.1,4.2,4.4,3.7,4.8,4.7,4.8,3.0,3.2,3.5,3.9,4.3,4.5,4.8,5.0
ITATIRA,3.2,3.5,3.2,3.8,3.8,4.8,5.7,5.9,3.2,3.4,3.7,4.1,4.4,4.7,5.0,5.2
JAGUARETAMA,2.8,4.0,4.1,4.2,3.9,4.6,4.4,5.3,2.8,3.0,3.2,3.6,4.0,4.3,4.5,4.8
