Municipio,2005,2007,2009,2011,2013,2015,2017,2019,2007_p,2009_p,2011_p,2013_p,2015_p,2017_p,2019_p,2021_p
MARCO,3.1,3.3,3.6,4.8,4.8,5.7,6.1,6.0,3.1,3.5,3.9,4.2,4.5,4.7,5.0,5.3
MARTINÓPOLE,3.0,4.0,4.4,5.3,6.4,6.5,7.3,8.6,3.0,3.4,3.8,4.0,4.3,4.6,4.9,5.2
MASSAPÊ,3.2,3.7,4.0,4.8,4.7,7.6,6.5,7.0,3.2,3.6,4.0,4.3,4.6,4.9,5.2,5.5
MAURITI,2.3,2.9,4.1,4.9,5.1,5.5,6.0,5.6,2.4,2.7,3.0,3.3,3.6,3.9,4.2,4.5
MERUOCA,2.8,3.2,4.6,5.3,6.1,7.1,7.9,7.5,2.9,3.2,3.6,3.9,4.2,4.5,4.8,5.1
MILAGRES,2.6,3.5,3.5,4.0,4.9,5.0,4.8,5.3,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
MILHÃ,,3.2,4.3,6.0,5.3,7.7,8.4,8.7,,3.4,3.7,4.0,4.3,4.6,4.8,5.1
MIRAÍMA,3.3,3.4,4.1,4.2,4.5,4.8,5.2,5.5,3.4,3.7,4.2,4.5,4.7,5.0,5.3,5.6
MISSÃO VELHA,2.5,3.0,3.3,3.9,4.1,6.1,4.9,5.9,2.6,2.9,3.3,3.6,3.9,4.2,4.5,4.8
MOMBAÇA,3.0,3.2,4.1,4.7,4.7,5.8,5.9,6.8,3.0,3.4,3.8,4.1,4.4,4.6,4.9,5.3
MONSENHOR TABOSA,1.8,2.7,3.4,4.3,4.6,5.5,6.4,6.0,2.0,2.4,2.9,3.2,3.4,3.7,4.1,4.4
MORADA NOVA,3.3,2.6,3.4,4.3,4.4,5.0,5.4,5.7,3.3,3.7,4.1,4.4,4.7,5.0,5.3,5.6
MORAÚJO,,3.3,3.9,4.9,5.5,6.2,6.4,6.4,,3.5,3.9,4.2,4.5,4.7,5.0,5.3
